,ACC,trial_id,Learning Method,Training Size,partition_random_state,currerent_fold,data_percentage
51,84.75838470458984,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
52,85.39939880371094,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
53,86.18318939208984,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
54,83.46760559082031,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
55,82.18849182128906,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
56,85.55382537841797,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
57,83.93525695800781,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
58,84.67097473144531,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
59,84.3548355102539,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
60,85.18961334228516,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
61,85.73301696777344,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
62,83.4107894897461,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
63,80.74620056152344,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
64,83.94254302978516,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
65,81.52124786376953,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
66,84.78460693359375,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
67,82.85135650634766,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
68,84.42330932617188,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
69,84.47866821289062,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
70,85.49555206298828,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
71,84.28927612304688,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
72,86.0418701171875,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
73,85.15464782714844,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
74,85.75778198242188,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
75,85.60189819335938,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
76,83.89301300048828,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
77,84.93029022216797,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
78,84.38834381103516,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
79,85.7563247680664,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
80,84.80208587646484,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
81,86.10305786132812,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
82,86.00836181640625,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
83,85.17212677001953,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
84,86.41336822509766,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
85,85.74176025390625,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
86,85.80003356933594,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
87,85.85684967041016,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
88,85.38774108886719,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
89,84.93029022216797,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
90,85.46058654785156,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
91,85.85539245605469,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
92,84.94923400878906,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
93,84.98564910888672,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
